by_month_date,County,Sale (Dollars),Volume Sold (Liters)
07/01/2020 12:00:00 AM,MAHASKA,162045.06,10623.01
02/01/2015 12:00:00 AM,HENRY,92630.26,7160.78
02/01/2018 12:00:00 AM,RINGGOLD,8905.19,667.18
07/01/2020 12:00:00 AM,WEBSTER,380096.77,24589.10
12/01/2016 12:00:00 AM,ADAMS,9163.42,582.95
03/01/2015 12:00:00 AM,CARROLL,146981.22,10738.59
09/01/2015 12:00:00 AM,CALHOUN,28249.80,2574.34
08/01/2018 12:00:00 AM,FREMONT,3446.04,271.80
04/01/2014 12:00:00 AM,RINGGOLD,13301.64,1068.00
06/01/2019 12:00:00 AM,SIOUX,130044.00,9407.28
11/01/2013 12:00:00 AM,JOHNSON,1070724.25,69688.19
09/01/2022 12:00:00 AM,MARION,270790.94,15332.83
08/01/2012 12:00:00 AM,HOWARD,57640.06,4794.05
05/01/2015 12:00:00 AM,PLYMOUTH,140605.11,10647.00
06/01/2020 12:00:00 AM,STORY,818132.45,51062.50
04/01/2023 12:00:00 AM,CHICKASAW,46021.37,3584.65
02/01/2019 12:00:00 AM,DECATUR,11092.43,768.46
02/01/2022 12:00:00 AM,BUCHANAN,112351.07,7711.17
03/01/2014 12:00:00 AM,LUCAS,19127.82,1481.85
09/01/2018 12:00:00 AM,VAN BUREN,14045.29,1046.20
03/01/2019 12:00:00 AM,EMMET,42525.89,3000.80
06/01/2012 12:00:00 AM,CLARKE,34718.71,2661.60
04/01/2019 12:00:00 AM,PALO ALTO,35650.63,2809.74
09/01/2012 12:00:00 AM,CLAYTON,34466.18,2774.16
11/01/2023 12:00:00 AM,LUCAS,76623.68,4090.86
01/01/2015 12:00:00 AM,WAYNE,9858.79,752.50
08/01/2013 12:00:00 AM,FREMONT,1333.92,93.00
02/01/2018 12:00:00 AM,MARION,157083.87,10903.03
08/01/2020 12:00:00 AM,OSCEOLA,24767.57,1644.11
06/01/2022 12:00:00 AM,BUTLER,35744.67,2658.93
02/01/2016 12:00:00 AM,DES MOINES,309785.86,20698.20
04/01/2015 12:00:00 AM,POLK,5269323.47,350311.74
08/01/2018 12:00:00 AM,BLACK HAWK,1745894.07,112112.01
06/01/2015 12:00:00 AM,JOHNSON,1519417.65,94080.87
10/01/2012 12:00:00 AM,FRANKLIN,59839.76,4874.76
12/01/2023 12:00:00 AM,VAN BUREN,21116.86,1225.81
08/01/2014 12:00:00 AM,HAMILTON,50318.42,3968.95
05/01/2022 12:00:00 AM,CHEROKEE,92330.81,6109.38
11/01/2013 12:00:00 AM,WRIGHT,37249.00,2959.25
07/01/2014 12:00:00 AM,CALHOUN,36294.77,3109.71
11/01/2019 12:00:00 AM,LUCAS,51125.92,3248.54
05/01/2023 12:00:00 AM,WORTH,46870.17,2834.19
11/01/2018 12:00:00 AM,HUMBOLDT,73532.58,4933.79
