county,percent_rural,,,,,
Adair County,1.00,,,,,
Adams County,1.00,,,,,
Allamakee County,1.00,,,,,
Appanoose County,0.57,,,,,
Audubon County,1.00,,,,,
Benton County,0.81,,,,,
Black Hawk County,0.13,,,,,
Boone County,0.53,,,,,
Bremer County,0.63,,,,,
Buchanan County,0.67,,,,,
Buena Vista County,0.43,,,,,
Butler County,1.00,,,,,
Calhoun County,1.00,,,,,
Carroll County,0.51,,,,,
Cass County,0.50,,,,,
Cedar County,1.00,,,,,
Cerro Gordo County,0.20,,,,,
Cherokee County,0.60,,,,,
Chickasaw County,1.00,,,,,
Clarke County,0.46,,,,,
Clay County,0.33,,,,,
Clayton County,0.99,,,,,
Clinton County,0.30,,,,,
Crawford County,0.51,,,,,
Dallas County,0.21,,,,,
Davis County,1.00,,,,,
Decatur County,1.00,,,,,
Delaware County,0.72,,,,,
Des Moines County,0.27,,,,,
Dickinson County,0.27,,,,,
Dubuque County,0.32,,,,,
Emmet County,0.39,,,,,
Fayette County,0.70,,,,,
Floyd County,0.54,,,,,
Franklin County,1.00,,,,,
Fremont County,1.00,,,,,
Greene County,1.00,,,,,
Grundy County,1.00,,,,,
Guthrie County,1.00,,,,,
Hamilton County,0.49,,,,,
Hancock County,1.00,,,,,
Hardin County,0.70,,,,,
Harrison County,1.00,,,,,
Henry County,0.55,,,,,
Howard County,1.00,,,,,
Humboldt County,0.44,,,,,
Ida County,1.00,,,,,
Iowa County,1.00,,,,,
Jackson County,0.69,,,,,
Jasper County,0.58,,,,,
Jefferson County,0.41,,,,,
Johnson County,0.17,,,,,
Jones County,0.74,,,,,
Keokuk County,1.00,,,,,
Kossuth County,0.63,,,,,
Lee County,0.41,,,,,
Linn County,0.14,,,,,
Louisa County,1.00,,,,,
Lucas County,1.00,,,,,
Lyon County,1.00,,,,,
Madison County,0.69,,,,,
Mahaska County,0.44,,,,,
Marion County,0.47,,,,,
Marshall County,0.32,,,,,
Mills County,0.65,,,,,
Mitchell County,1.00,,,,,
Monona County,1.00,,,,,
Monroe County,1.00,,,,,
Montgomery County,0.47,,,,,
Muscatine County,0.42,,,,,
O'Brien County,0.64,,,,,
Osceola County,1.00,,,,,
Page County,0.34,,,,,
Palo Alto County,1.00,,,,,
Plymouth County,0.61,,,,,
Pocahontas County,1.00,,,,,
Polk County,0.05,,,,,
Pottawattamie County,0.27,,,,,
Poweshiek County,0.49,,,,,
Ringgold County,1.00,,,,,
Sac County,1.00,,,,,
Scott County,0.13,,,,,
Shelby County,0.60,,,,,
Sioux County,0.57,,,,,
Story County,0.26,,,,,
Tama County,0.69,,,,,
Taylor County,1.00,,,,,
Union County,0.38,,,,,
Van Buren County,1.00,,,,,
Wapello County,0.29,,,,,
Warren County,0.47,,,,,
Washington County,0.70,,,,,
Wayne County,1.00,,,,,
Webster County,0.33,,,,,
Winnebago County,1.00,,,,,
Winneshiek County,0.60,,,,,
Woodbury County,0.16,,,,,
Worth County,1.00,,,,,
Wright County,1.00,,,,,
