county,year,population
Adams ,2010,4023
Ringgold ,2010,5113
Audubon ,2010,6094
Osceola ,2010,6458
Taylor ,2010,6322
Wayne ,2010,6419
Pocahontas ,2010,7290
Ida ,2010,7067
Fremont ,2010,7434
Van Buren ,2010,7577
Adair ,2010,7679
Worth ,2010,7582
Monroe ,2010,7993
Decatur ,2010,8419
Lucas ,2010,8897
Monona ,2010,9249
Palo Alto ,2010,9398
Greene ,2010,9362
Davis ,2010,8777
Howard ,2010,9569
Emmet ,2010,10277
Clarke ,2010,9321
Humboldt ,2010,9791
Calhoun ,2010,10159
Sac ,2010,10355
Montgomery ,2010,10690
Franklin ,2010,10706
Keokuk ,2010,10508
Winnebago ,2010,10845
Mitchell ,2010,10793
Hancock ,2010,11300
Guthrie ,2010,10942
Louisa ,2010,11382
Cherokee ,2010,12110
Shelby ,2010,12179
Lyon ,2010,11569
Chickasaw ,2010,12411
Union ,2010,12513
Grundy ,2010,12464
Appanoose ,2010,12861
Wright ,2010,13185
Cass ,2010,13927
Allamakee ,2010,14377
O'Brien ,2010,14405
Harrison ,2010,14908
Butler ,2010,14916
Kossuth ,2010,15524
Hamilton ,2010,15634
Mills ,2010,15076
Page ,2010,15920
Floyd ,2010,16308
Clay ,2010,16633
Iowa ,2010,16335
Madison ,2010,15738
Hardin ,2010,17543
Crawford ,2010,17166
Tama ,2010,17718
Delaware ,2010,17763
Dickinson ,2010,16669
Clayton ,2010,18080
Jefferson ,2010,16835
Poweshiek ,2010,18926
Cedar ,2010,18453
Jackson ,2010,19831
Fayette ,2010,20860
Buena Vista ,2010,20356
Henry ,2010,20112
Winneshiek ,2010,21076
Carroll ,2010,20823
Jones ,2010,20687
Buchanan ,2010,20975
Washington ,2010,21687
Mahaska ,2010,22409
Bremer ,2010,24296
Plymouth ,2010,24978
Benton ,2010,26049
Boone ,2010,26271
Marion ,2010,33225
Lee ,2010,35850
Sioux ,2010,33755
Wapello ,2010,35679
Webster ,2010,37882
Jasper ,2010,36810
Des Moines ,2010,40243
Marshall ,2010,40722
Cerro Gordo ,2010,44097
Muscatine ,2010,42804
Clinton ,2010,49091
Warren ,2010,46341
Pottawattamie ,2010,93363
Dallas ,2010,66751
Dubuque ,2010,93933
Story ,2010,89661
Woodbury ,2010,102393
Black Hawk ,2010,131164
Johnson ,2010,131344
Scott ,2010,165291
Linn ,2010,211713
Polk ,2010,432360
Adams ,2011,3994
Ringgold ,2011,5048
Audubon ,2011,6000
Osceola ,2011,6315
Taylor ,2011,6301
Wayne ,2011,6337
Pocahontas ,2011,7203
Ida ,2011,7046
Fremont ,2011,7371
Van Buren ,2011,7512
Adair ,2011,7546
Worth ,2011,7560
Monroe ,2011,8057
Decatur ,2011,8250
Lucas ,2011,8879
Monona ,2011,9238
Palo Alto ,2011,9354
Greene ,2011,9331
Davis ,2011,8772
Howard ,2011,9548
Emmet ,2011,10092
Clarke ,2011,9318
Humboldt ,2011,9782
Calhoun ,2011,10064
Sac ,2011,10223
Montgomery ,2011,10633
Franklin ,2011,10695
Keokuk ,2011,10399
Winnebago ,2011,10699
Mitchell ,2011,10709
Hancock ,2011,11296
Guthrie ,2011,10864
Louisa ,2011,11384
Cherokee ,2011,12027
Shelby ,2011,11997
Lyon ,2011,11694
Chickasaw ,2011,12407
Union ,2011,12555
Grundy ,2011,12478
Appanoose ,2011,12853
Wright ,2011,13032
Cass ,2011,13762
Allamakee ,2011,14224
O'Brien ,2011,14217
Harrison ,2011,14764
Butler ,2011,14966
Kossuth ,2011,15396
Hamilton ,2011,15468
Mills ,2011,15031
Page ,2011,15900
Floyd ,2011,16095
Clay ,2011,16598
Iowa ,2011,16324
Madison ,2011,15738
Hardin ,2011,17376
Crawford ,2011,17213
Tama ,2011,17613
Delaware ,2011,17631
Dickinson ,2011,16861
Clayton ,2011,18019
Jefferson ,2011,17099
Poweshiek ,2011,18900
Cedar ,2011,18362
Jackson ,2011,19734
Fayette ,2011,20975
Buena Vista ,2011,20310
Henry ,2011,20252
Winneshiek ,2011,21055
Carroll ,2011,20860
Jones ,2011,20743
Buchanan ,2011,20911
Washington ,2011,21825
Mahaska ,2011,22506
Bremer ,2011,24383
Plymouth ,2011,24824
Benton ,2011,26079
Boone ,2011,26287
Marion ,2011,33274
Lee ,2011,35575
Sioux ,2011,34022
Wapello ,2011,35484
Webster ,2011,37754
Jasper ,2011,36624
Des Moines ,2011,40074
Marshall ,2011,41013
Cerro Gordo ,2011,43971
Muscatine ,2011,42847
Clinton ,2011,49105
Warren ,2011,46654
Pottawattamie ,2011,93517
Dallas ,2011,69699
Dubuque ,2011,94656
Story ,2011,91164
Woodbury ,2011,102741
Black Hawk ,2011,131598
Johnson ,2011,134125
Scott ,2011,166686
Linn ,2011,214242
Polk ,2011,438783
Adams ,2012,3910
Ringgold ,2012,5025
Audubon ,2012,5861
Osceola ,2012,6203
Taylor ,2012,6259
Wayne ,2012,6329
Pocahontas ,2012,7143
Ida ,2012,7045
Fremont ,2012,7140
Van Buren ,2012,7449
Adair ,2012,7466
Worth ,2012,7495
Monroe ,2012,8070
Decatur ,2012,8241
Lucas ,2012,8777
