county,unemployment,year
Adair County,4.4,2012
Adams County,4,2012
Allamakee County,6.5,2012
Appanoose County,6.6,2012
Audubon County,4.8,2012
Benton County,5.3,2012
Black Hawk County,5.5,2012
Boone County,4.3,2012
Bremer County,3.9,2012
Buchanan County,4.8,2012
Buena Vista County,4.2,2012
Butler County,4.5,2012
Calhoun County,5.5,2012
Carroll County,3.8,2012
Cass County,5.2,2012
Cedar County,4.6,2012
Cerro Gordo County,5.6,2012
Cherokee County,4.4,2012
Chickasaw County,5.2,2012
Clarke County,6,2012
Clay County,5.1,2012
Clayton County,5.7,2012
Clinton County,6.2,2012
Crawford County,4.5,2012
Dallas County,3.9,2012
Davis County,5.8,2012
Decatur County,4.5,2012
Delaware County,4.5,2012
Des Moines County,6.2,2012
Dickinson County,5.7,2012
Dubuque County,4.5,2012
Emmet County,4.5,2012
Fayette County,5.4,2012
Floyd County,6.3,2012
Franklin County,4.5,2012
Fremont County,5.1,2012
Greene County,5,2012
Grundy County,4.6,2012
Guthrie County,5.6,2012
Hamilton County,6.9,2012
Hancock County,4.6,2012
Hardin County,5.4,2012
Harrison County,5.1,2012
Henry County,6,2012
Howard County,4.6,2012
Humboldt County,4.2,2012
Ida County,4,2012
Iowa County,4.5,2012
Jackson County,5.5,2012
Jasper County,6,2012
Jefferson County,5.3,2012
Johnson County,3.7,2012
Jones County,5.3,2012
Keokuk County,5.5,2012
Kossuth County,3.9,2012
Lee County,7.2,2012
Linn County,5.2,2012
Louisa County,5.5,2012
Lucas County,4.8,2012
Lyon County,3,2012
Madison County,5.6,2012
Mahaska County,5.2,2012
Marion County,4.8,2012
Marshall County,6.4,2012
Mills County,4.6,2012
Mitchell County,4.6,2012
Monona County,6.4,2012
Monroe County,5.8,2012
Montgomery County,5.1,2012
Muscatine County,5.8,2012
O'Brien County,3.8,2012
Osceola County,4.2,2012
Page County,5.4,2012
Palo Alto County,4.3,2012
Plymouth County,4.1,2012
Pocahontas County,4,2012
Polk County,5.2,2012
Pottawattamie County,5.1,2012
Poweshiek County,4.9,2012
Ringgold County,4.4,2012
Sac County,4.3,2012
Scott County,5.7,2012
Shelby County,3.8,2012
Sioux County,3.5,2012
Story County,3.6,2012
Tama County,6,2012
Taylor County,4.1,2012
Union County,5.1,2012
Van Buren County,5.8,2012
Wapello County,7,2012
Warren County,4.8,2012
Washington County,4.2,2012
Wayne County,5.5,2012
Webster County,6.4,2012
Winnebago County,5.4,2012
Winneshiek County,4.6,2012
Woodbury County,5.2,2012
Worth County,5.5,2012
Wright County,5.4,2012
Adair County,4.2,2013
Adams County,3.7,2013
Allamakee County,6.3,2013
Appanoose County,6.4,2013
Audubon County,4.9,2013
Benton County,5.1,2013
Black Hawk County,5.1,2013
Boone County,4.1,2013
Bremer County,3.8,2013
Buchanan County,4.7,2013
Buena Vista County,4,2013
Butler County,4.5,2013
Calhoun County,5.2,2013
Carroll County,3.4,2013
Cass County,5,2013
Cedar County,4.3,2013
Cerro Gordo County,5.4,2013
Cherokee County,4.3,2013
Chickasaw County,5,2013
Clarke County,5.5,2013
Clay County,4.5,2013
Clayton County,5.6,2013
Clinton County,5.8,2013
Crawford County,4.4,2013
Dallas County,3.6,2013
Davis County,5.5,2013
Decatur County,4.5,2013
Delaware County,4.3,2013
Des Moines County,6,2013
Dickinson County,5.3,2013
Dubuque County,4.5,2013
Emmet County,4.1,2013
Fayette County,5.3,2013
Floyd County,5.5,2013
Franklin County,4.5,2013
Fremont County,4.2,2013
Greene County,4.7,2013
Grundy County,4.4,2013
Guthrie County,5.1,2013
Hamilton County,5.5,2013
Hancock County,4,2013
Hardin County,5.1,2013
Harrison County,4.5,2013
Henry County,5.3,2013
Howard County,4.6,2013
Humboldt County,4.1,2013
Ida County,4,2013
Iowa County,4.1,2013
Jackson County,5.4,2013
Jasper County,5.1,2013
Jefferson County,5,2013
Johnson County,3.4,2013
Jones County,5.3,2013
Keokuk County,5.1,2013
Kossuth County,3.6,2013
Lee County,7.1,2013
Linn County,5,2013
Louisa County,5.1,2013
Lucas County,4.7,2013
Lyon County,2.9,2013
Madison County,5.1,2013
Mahaska County,4.8,2013
Marion County,4.5,2013
Marshall County,6,2013
Mills County,4.4,2013
Mitchell County,4.3,2013
Monona County,5.7,2013
Monroe County,5.7,2013
Montgomery County,4.9,2013
Muscatine County,5.2,2013
O'Brien County,3.6,2013
Osceola County,3.8,2013
Page County,5.3,2013
Palo Alto County,3.7,2013
Plymouth County,4,2013
Pocahontas County,3.8,2013
Polk County,4.8,2013
Pottawattamie County,4.6,2013
Poweshiek County,4.6,2013
Ringgold County,4.3,2013
Sac County,4.2,2013
Scott County,5.6,2013
Shelby County,3.8,2013
Sioux County,3.5,2013
Story County,3.3,2013
Tama County,5.6,2013
Taylor County,3.8,2013
Union County,4.9,2013
Van Buren County,5.5,2013
Wapello County,6.3,2013
Warren County,4.5,2013
Washington County,3.8,2013
Wayne County,5.2,2013
Webster County,5.3,2013
Winnebago County,4.8,2013
Winneshiek County,4.6,2013
Woodbury County,4.8,2013
Worth County,5.2,2013
Wright County,4.5,2013
Adair County,4,2014
Adams County,3.3,2014
Allamakee County,5.6,2014
Appanoose County,5.7,2014
Audubon County,4.3,2014
Benton County,4.6,2014
Black Hawk County,4.9,2014
Boone County,3.4,2014
Bremer County,3.7,2014
Buchanan County,4.6,2014
Buena Vista County,4,2014
Butler County,4.2,2014
Calhoun County,4.8,2014
Carroll County,3.2,2014
Cass County,4.3,2014
Cedar County,3.9,2014
Cerro Gordo County,4.6,2014
Cherokee County,5.1,2014
Chickasaw County,4.7,2014
Clarke County,4.5,2014
Clay County,4.2,2014
Clayton County,5,2014
Clinton County,5.2,2014
Crawford County,4.1,2014
Dallas County,3.3,2014
Davis County,5.1,2014
Decatur County,3.8,2014
Delaware County,3.8,2014
Des Moines County,5,2014
Dickinson County,4.7,2014
Dubuque County,4.1,2014
Emmet County,3.9,2014
Fayette County,5,2014
Floyd County,4.5,2014
Franklin County,3.9,2014
Fremont County,3.9,2014
Greene County,4,2014
Grundy County,4.1,2014
Guthrie County,4.4,2014
Hamilton County,4.5,2014
Hancock County,3.3,2014
Hardin County,4.3,2014
Harrison County,4,2014
Henry County,4.4,2014
Howard County,4,2014
Humboldt County,3.8,2014
Ida County,3.6,2014
Iowa County,4.2,2014
Jackson County,5,2014
Jasper County,4.4,2014
Jefferson County,4.4,2014
Johnson County,3.1,2014
Jones County,4.9,2014
Keokuk County,4.4,2014
Kossuth County,3.2,2014
Lee County,5.9,2014
Linn County,4.4,2014
Louisa County,4.5,2014
Lucas County,3.9,2014
Lyon County,2.5,2014
Madison County,4.5,2014
Mahaska County,4.4,2014
Marion County,3.8,2014
Marshall County,5.4,2014
Mills County,4.4,2014
Mitchell County,3.6,2014
Monona County,5,2014
Monroe County,5.1,2014
Montgomery County,4.1,2014
Muscatine County,4.5,2014
O'Brien County,3.3,2014
Osceola County,3.3,2014
Page County,4.4,2014
Palo Alto County,3.6,2014
Plymouth County,3.4,2014
Pocahontas County,3.5,2014
Polk County,4.2,2014
Pottawattamie County,4.3,2014
Poweshiek County,4.2,2014
Ringgold County,3.8,2014
Sac County,3.9,2014
Scott County,5.2,2014
Shelby County,3.1,2014
Sioux County,2.9,2014
Story County,2.9,2014
Tama County,5.3,2014
Taylor County,3.7,2014
Union County,4.7,2014
Van Buren County,4.5,2014
Wapello County,5.5,2014
Warren County,4,2014
Washington County,3.6,2014
Wayne County,5,2014
Webster County,4.8,2014
Winnebago County,4.2,2014
Winneshiek County,4.2,2014
Woodbury County,4.4,2014
Worth County,4.5,2014
Wright County,4.1,2014
Adair County,3.2,2015
Adams County,2.8,2015
Allamakee County,4.8,2015
